semester,years,subj1,subj2,subj3,Final_Grade
4,2021,B+,A,C+,C+
4,2022,D,D,D,D
4,2020,F,A,F,F
4,2020,B+,C+,B,C+
4,2021,F,P,P,F
4,2022,C+,A,A,B
4,2023,D,F,D,F
4,2021,F,F,F,F
4,2023,C,D,D,D
4,2021,S,A+,S,S
4,2021,S,A,S,S
4,2020,A,A,S,A+
4,2020,P,D,C+,D
4,2020,B+,A+,A,B+
4,2022,P,D,C,D
4,2022,A,B,B,B
4,2021,B+,A,A,B+
4,2021,F,F,P,F
4,2023,S,S,S,S
4,2020,F,F,F,F
4,2023,C,D,C,D
4,2020,F,F,F,F
4,2023,S,S,A+,A+
4,2023,A+,A,B,B
4,2022,F,F,F,F
4,2020,C,D,D,D
4,2023,C+,D,D,D
4,2022,B+,B+,B+,B
4,2023,S,S,S,S
4,2022,B,B+,B+,B
4,2022,C,C+,P,P
4,2020,F,C,F,F
4,2020,A,B+,A,B+
4,2023,F,F,F,F
4,2021,C,C,P,P
4,2020,F,F,F,F
4,2022,C+,C+,B+,C+
4,2021,S,S,C,B
4,2020,C,C+,C+,C
4,2023,F,F,F,F
4,2022,B+,B,B+,B
4,2020,D,P,D,P
4,2023,F,F,F,F
4,2020,D,B,C,D
4,2021,D,D,B,C
4,2020,A+,A+,A+,A
4,2020,F,F,F,F
4,2020,C+,B,B+,B
4,2023,S,S,S,S
4,2021,C,C+,C+,C
4,2023,S,S,S,S
4,2023,F,P,F,F
4,2020,B+,B+,B+,B
4,2020,C,C+,F,F
4,2020,D,C,C,D
4,2023,F,F,F,F
4,2023,D,D,D,D
4,2021,S,S,S,S
4,2023,B+,A,A,B+
4,2021,B+,C+,A,B+
4,2023,B,A,A,B+
4,2022,B+,B+,A,B+
4,2021,P,P,P,P
4,2020,F,F,A,F
4,2022,C,B,C+,C
4,2022,A+,A+,S,A+
4,2021,B+,B+,B,B
4,2022,D,F,P,F
4,2022,F,F,F,F
4,2020,C,F,F,F
4,2020,F,F,F,F
4,2023,P,P,P,P
4,2020,C,C,B,C+
4,2022,C+,C+,C+,C
4,2020,C+,A+,B+,B
4,2020,F,F,F,F
4,2020,S,A+,S,S
4,2020,B,B,B,C+
4,2021,A+,S,A,A
4,2023,A,C+,C+,C+
4,2022,C,D,D,D
4,2023,F,F,D,F
4,2022,B,D,C+,C
4,2021,S,A,S,S
4,2023,C+,C,B,C+
4,2021,F,P,D,F
4,2023,C,B,B,C+
4,2023,C+,F,P,F
4,2021,B,B,C+,C+
4,2021,S,S,S,S
4,2022,A,B,B,B
4,2023,S,S,A+,A+
4,2020,B+,B+,B,B
4,2020,B+,S,A,B+
4,2020,F,F,F,F
4,2023,F,D,C+,F
4,2021,D,B,C+,C
4,2020,A+,A+,B,B
4,2022,C+,C,C+,C
4,2021,B,F,F,F
4,2023,P,D,C,D
4,2020,B+,S,D,C
4,2023,A+,A+,S,A+
4,2020,C,B,C,C
4,2020,C+,C+,C,C
4,2023,F,F,C,F
4,2023,B,S,S,A
4,2023,F,F,F,F
4,2021,C+,C+,C+,C
4,2021,B+,A,S,A
4,2023,A,S,S,A+
4,2022,D,C,D,D
4,2021,C+,C+,D,D
4,2023,F,C,F,F
4,2020,B+,B,B,B
4,2021,D,P,C,D
4,2022,D,C,C,D
4,2022,C,C,P,P
4,2021,B,C+,B,C+
4,2023,S,F,C+,C+
4,2021,D,D,D,D
4,2020,F,F,D,F
4,2020,F,F,S,D
4,2022,D,D,D,D
4,2023,B,D,B,C+
4,2022,D,P,F,F
4,2021,P,D,D,P
4,2021,C+,B,C,C
4,2021,S,S,S,S
4,2020,C+,B,C+,C
4,2021,F,F,F,F
4,2023,B+,S,S,A+
4,2023,A+,S,C,C+
4,2023,B,D,D,D
4,2020,D,D,C+,C
4,2022,C,D,C,D
4,2021,D,F,F,F
4,2020,F,F,F,F
4,2021,P,F,F,F
4,2021,F,P,F,F
4,2023,B+,B+,A+,B+
4,2022,A+,S,A+,A
4,2022,D,C,P,P
4,2021,C,C+,C+,C
4,2021,S,S,S,S
4,2022,D,P,C,D
4,2020,F,D,F,F
4,2022,C+,C+,B,C+
4,2022,A+,C,B+,B
4,2022,F,F,F,F
4,2020,C+,F,P,F
4,2023,B,B,A,B
4,2021,F,F,C,F
4,2020,C+,B,B,C+
4,2022,A+,S,S,A+
4,2021,F,F,P,F
4,2021,S,S,S,S
4,2023,C+,C+,C+,C
4,2020,F,F,F,F
4,2023,B,B+,C+,C+
4,2023,P,F,P,F
4,2023,B+,C+,B,C+
4,2023,B,B+,B,C+
4,2020,F,F,D,F
4,2021,D,D,P,P
4,2023,F,P,D,F
4,2021,C,C+,D,D
4,2020,B,B,B,C+
4,2021,F,F,F,F
4,2023,P,F,C+,P
4,2022,F,F,F,F
4,2021,D,F,F,F
4,2023,C,C,B,C+
4,2021,F,F,P,F
4,2023,C+,B+,B,C+
4,2020,S,A+,S,S
4,2023,D,P,C+,C
4,2020,B+,C+,B,C+
4,2023,P,C,D,P
4,2020,S,S,S,S
4,2021,A,A,B+,B+
