semester,years,subj1,subj2,subj3,subj4,subj5,subj6,subj7,Final_Grade
3,2021,B,B+,B,C+,B,B,A,B+
3,2022,D,D,D,D,P,C,D,C
1,2020,C+,F,P,F,F,F,A,F
2,2020,B,B+,A,B,B+,A,C+,B+
1,2021,D,F,P,P,F,B,P,F
2,2022,A,C+,S,A,C,F,A,B+
2,2023,D,D,D,D,P,P,F,P
3,2021,F,F,P,F,F,F,F,F
1,2023,B+,C,C,D,C+,C+,D,C+
1,2021,S,S,A+,S,A+,S,A+,S
2,2021,C+,S,B,S,P,P,A,A
1,2020,A,A,A+,S,A+,B+,A,A+
3,2020,C,P,P,C+,P,D,D,C
2,2020,C+,B+,A+,A,S,A,A+,A
1,2022,P,P,C,C,D,F,D,D
1,2022,B+,A,B+,B,B+,A,B,A
1,2021,B+,B+,B+,A,B,A,A,A
3,2021,P,F,D,P,P,P,F,F
2,2023,S,S,S,S,S,S,S,S
1,2020,F,F,F,F,F,F,F,F
1,2023,C,C,D,C,D,C,D,C
3,2020,P,F,F,F,F,F,F,F
2,2023,S,S,S,A+,A,S,S,S
3,2023,A+,A+,A+,B,B,B,A,A
1,2022,F,F,F,F,F,F,F,F
2,2020,D,C,C,D,D,P,D,C
2,2023,D,C+,C+,D,C+,C+,D,C+
2,2022,B+,B+,B+,B+,A,B,B+,A
2,2023,S,S,S,S,S,A+,S,S
1,2022,B+,B,A,B+,B+,S,B+,A
2,2022,D,C,F,P,C,F,C+,F
3,2020,F,F,P,F,P,F,C,F
3,2020,A+,A,B+,A,A,B+,B+,A
3,2023,F,F,F,F,F,F,F,F
2,2021,B,C,B+,P,D,C,C,C+
1,2020,F,F,F,F,P,F,F,F
3,2022,P,C+,C+,B+,C,C+,C+,C+
3,2021,C+,S,A,C,A+,C+,S,A
3,2020,C+,C,C,C+,B,D,C+,C+
1,2023,F,F,P,F,P,F,F,F
2,2022,A,B+,B,B+,B+,B+,B,A
1,2020,D,D,F,D,C,D,P,F
2,2023,P,F,P,F,F,F,F,F
2,2020,C+,D,C,C,C,C,B,C+
2,2021,B,D,C,B,C+,B,D,C+
2,2020,S,A+,S,A+,A+,S,A+,S
2,2020,F,F,F,F,F,F,F,F
3,2020,B,C+,C+,B+,C+,B,B,B
2,2023,S,S,S,S,A+,S,S,S
1,2021,D,C,C,C+,B,B+,C+,C+
3,2023,A+,S,S,S,S,S,S,S
1,2023,F,F,F,F,F,F,P,F
3,2020,A,B+,C+,B+,C,A,B+,B+
1,2020,A,C,D,F,B,C,C+,D
1,2020,D,D,P,C,C,C,C,C
3,2023,F,F,F,F,P,F,F,F
3,2023,P,D,P,D,P,P,D,D
1,2021,A+,S,S,S,A+,A+,S,S
3,2023,C+,B+,C+,A,B+,B,A,B+
2,2021,B+,B+,A,A,A,B,C+,A
2,2023,A,B,A,A,A,A,A,A
3,2022,B+,B+,B,A,B+,C+,B+,B+
1,2021,D,P,P,P,D,P,P,D
2,2020,B+,F,D,A,S,A,F,D
1,2022,C,C,C+,C+,C,C,B,C+
1,2022,A+,A+,A,S,S,S,A+,S
2,2021,C+,B+,B+,B,B+,A,B+,B+
2,2022,C,D,C,P,F,D,F,P
1,2022,F,F,F,F,F,F,F,F
3,2020,P,C,F,F,C+,C,F,F
3,2020,F,F,F,F,F,F,F,F
2,2023,P,P,P,P,D,F,P,P
2,2020,B+,C,C+,B,D,C+,C,B
3,2022,B,C+,C+,C+,B+,C+,C+,B
3,2020,B+,C+,B+,B+,B,B+,A+,B+
1,2020,F,F,F,F,F,F,F,F
1,2020,S,S,S,S,S,S,A+,S
2,2020,B,B,A,B,B,B+,B,B+
2,2021,A+,A+,S,A,S,S,S,S
2,2023,B+,A,B+,C+,B+,B,C+,B+
1,2022,P,C,D,D,C,D,D,C
3,2023,D,F,F,D,P,F,F,F
1,2022,C,B,D,C+,D,B,D,C+
2,2021,A,S,A+,S,S,S,A,S
1,2023,C,C+,C+,B,C,D,C,C+
2,2021,P,F,D,D,P,F,P,F
1,2023,C+,C,B,B,C,B+,B,B
2,2023,P,C+,P,P,D,P,F,P
1,2021,A,B,B+,C+,A,B+,B,B+
3,2021,S,S,A+,S,S,S,S,S
2,2022,B,A,A,B,B+,B,B,B+
1,2023,S,S,S,A+,S,S,S,S
2,2020,B,B+,B,B,C+,C+,B+,B+
3,2020,S,B+,S,A,A+,S,S,S
3,2020,C,F,F,F,F,F,F,F
2,2023,F,F,C+,C+,F,F,D,F
1,2021,C,D,B,C+,D,C,B,C+
1,2020,A+,A+,A,B,A,A+,A+,A+
2,2022,D,C+,C,C+,C,P,C,C+
2,2021,F,B,F,F,D,F,F,F
1,2023,P,P,D,C,P,C+,D,C
2,2020,S,B+,B,D,S,C,S,A
2,2023,B+,A+,B+,S,S,S,A+,S
1,2020,C+,C,D,C,B,D,B,C+
3,2020,B+,C+,C,C,C+,C+,C+,B
2,2023,C,F,F,C,P,F,F,F
1,2023,B+,B,A+,S,S,A+,S,A+
2,2023,F,F,F,F,F,P,F,F
3,2021,C+,C+,C,C+,C,C,C+,C+
2,2021,A+,B+,A+,S,S,A,A,S
3,2023,S,A,C+,S,B+,A,S,A+
2,2022,F,D,C,D,C+,D,C,P
1,2021,C+,C+,B,D,C,C,C+,C+
3,2023,F,F,C,F,C,F,C,F
2,2020,B+,B+,A,B,B,A,B,A
3,2021,P,D,C,C,P,P,P,C
1,2022,C+,D,S,C,D,A,C,B
1,2022,F,C,A+,P,F,C,C,P
3,2021,B,B,B,B,C+,B,C+,B
3,2023,S,S,B,C+,S,A+,F,A
1,2021,D,D,D,D,D,P,D,C
3,2020,F,F,F,D,P,F,F,F
3,2020,P,F,F,S,A,D,F,F
2,2022,D,D,F,D,F,D,D,F
1,2023,C,B,B+,B,C+,B+,D,B
3,2022,D,D,P,F,P,P,P,F
2,2021,F,P,C,D,D,F,D,F
2,2021,C,C+,B,C,B,B+,B,B
2,2021,S,S,B+,S,S,B+,S,S
2,2020,C,C+,B+,C+,B,A,B,B
3,2021,F,F,F,F,F,F,F,F
3,2023,P,B+,S,S,S,S,S,A+
3,2023,A,A+,S,C,A,F,S,B+
2,2023,C+,B,D,D,P,C+,D,C+
1,2020,P,D,D,C+,P,F,D,D
3,2022,C,C,C,C,C,B,D,C+
2,2021,F,D,F,F,F,F,F,F
3,2020,F,F,F,F,F,P,F,F
1,2021,F,P,F,F,F,F,F,F
2,2021,P,F,D,F,P,D,P,F
3,2023,A+,B+,A,A+,A,S,B+,A+
2,2022,A+,A+,A+,A+,A,A+,S,S
1,2022,D,D,P,P,D,C+,C,C
2,2021,C+,C,C,C+,C+,C,C+,C+
2,2021,S,S,S,S,S,S,S,S
1,2022,D,D,C,C,C,P,P,C
1,2020,F,F,F,F,P,D,D,F
3,2022,C+,C+,C+,B,C+,C+,C+,B
3,2022,B,A+,B+,B+,B+,B+,C,A
3,2022,F,F,F,F,F,F,F,F
3,2020,F,C+,A+,P,A,D,F,P
3,2023,C+,B,B+,A,B+,B+,B,B+
1,2021,F,F,F,C,P,C+,F,F
1,2020,C+,C+,B,B,C,C+,B,B
1,2022,S,A+,A+,S,S,S,S,S
3,2021,F,F,P,P,F,F,F,F
3,2021,S,S,A,S,S,S,S,S
3,2023,B,C+,B+,C+,B,B,C+,B
2,2020,F,F,F,F,P,F,F,F
2,2023,B,B,B,C+,B,B+,B+,B+
2,2023,F,P,F,P,F,F,F,F
3,2023,A,B+,C+,B,A,C+,C+,B+
1,2023,C+,B,C,B,C,B+,B+,B
1,2020,F,F,P,D,F,D,F,F
1,2021,D,D,D,P,P,P,D,D
1,2023,P,F,P,D,P,D,P,F
2,2021,D,C,C,D,F,B,C+,D
2,2020,B+,B,B,B,C+,A,B,B+
3,2021,F,F,F,F,F,F,F,F
2,2023,D,P,F,C+,D,F,F,F
2,2022,F,F,F,F,F,F,F,F
3,2021,D,D,C,F,F,C,F,F
2,2023,C+,C,C,B,C+,B,C,C+
3,2021,F,F,F,P,F,F,F,F
1,2023,B+,C+,D,B,C,C+,B+,B
2,2020,S,S,S,S,A+,S,A+,S
1,2023,B,D,F,C+,P,D,P,P
1,2020,B,B+,B,B,B,B,C+,B+
1,2023,C,P,P,D,P,F,C,P
3,2020,S,S,S,S,S,A+,S,S
2,2021,B,A,A+,B+,S,A,A,A+
3,2023,F,F,F,F,F,F,F,F
3,2023,F,F,F,F,F,F,F,F
1,2022,A,A+,A+,A+,A,S,A,A+
3,2020,F,F,S,F,F,P,C+,F
2,2020,S,A+,D,B,F,S,C+,B+
2,2023,C,B+,C,C,B+,C+,B,B
2,2021,F,F,F,F,F,F,F,F
2,2020,B+,B,B+,A,B+,B+,A,A
2,2023,S,S,A+,S,S,A+,S,S
2,2022,F,F,F,F,P,F,F,F
1,2020,F,F,F,F,F,F,F,F
2,2023,D,P,P,D,F,P,D,P
2,2022,C+,C+,B,C+,C+,C+,C+,B
2,2020,B+,B+,A,C,A,B+,A,B+
1,2023,S,S,S,S,S,S,S,S
1,2023,C+,C,C,D,C+,D,C+,C+
3,2020,F,F,F,F,F,A,F,F
2,2021,S,B,C+,C,S,P,C+,B+
2,2022,F,F,F,F,F,F,F,F
1,2021,D,D,P,C,P,D,C,C
3,2022,S,D,C,S,S,S,F,B+
3,2022,F,F,F,F,P,F,F,F
1,2020,F,F,F,F,F,F,F,F
3,2020,B,A,B+,B+,B,B,B,B+
2,2022,C,P,C,C,B,C,D,C
2,2020,F,F,F,F,F,D,P,F
3,2022,P,D,C+,F,B,A,F,F
3,2022,S,S,S,A+,S,S,S,S
3,2020,F,D,P,C+,C,C,D,P
2,2021,F,F,F,P,F,P,F,F
2,2023,A+,B,B+,A+,B,P,A+,A
1,2022,A+,S,S,S,A+,A+,A+,S
3,2021,S,S,S,S,S,S,S,S
3,2023,F,F,F,F,F,F,F,F
3,2023,C,P,F,A+,P,A,F,P
2,2023,A,S,A+,S,A+,S,S,S
2,2021,C,P,D,F,S,F,B,F
3,2021,F,F,F,F,F,F,F,F
3,2021,A+,A+,S,S,B,S,D,S
2,2023,S,S,S,S,A+,S,S,S
1,2021,B+,B,B,C+,C+,B,D,B
2,2020,B+,A,B+,A,A,A,A,A
2,2021,B,B+,A,A,C+,B+,B+,A
1,2023,B+,B+,S,S,A,C+,S,A+
3,2022,F,F,F,F,F,F,F,F
3,2020,C,C,C,P,C+,D,P,C
3,2020,C+,B,C+,B,C+,C+,C+,B
3,2020,S,A,A+,S,S,S,B,S
2,2023,F,D,A,F,S,C+,S,P
2,2023,P,D,P,F,F,F,F,F
2,2023,F,F,F,F,F,F,F,F
1,2023,B+,B+,B+,B+,C+,B+,B,B+
2,2023,F,F,F,F,P,F,F,F
3,2023,C,C+,D,C,C,C+,B,C+
2,2023,F,B,F,C+,F,F,F,F
1,2020,C+,C+,C,C+,C,C+,D,C+
1,2023,C,B+,P,F,S,C,P,D
3,2022,F,P,F,F,F,P,F,F
3,2021,F,D,F,F,F,D,F,F
2,2021,P,F,P,P,D,P,P,F
2,2023,B+,B+,B,A+,C+,B,B+,A
1,2021,S,C+,S,A+,F,F,C+,B
1,2020,D,D,P,P,D,C+,P,D
2,2022,C,D,C,C+,C+,C,C+,C+
1,2023,B,B,B,B,B,C+,C+,B
3,2022,S,A,S,S,S,S,A,S
1,2023,C,C,B,C,C,C+,C+,C+
2,2023,S,S,S,S,S,S,S,S
2,2022,D,P,F,D,P,F,D,F
1,2021,C+,B,C,C,C+,C,C+,C+
1,2023,D,P,D,D,C,F,D,P
3,2023,F,F,F,D,F,D,P,F
3,2022,B,C+,C,B,C,C+,C,B
3,2022,F,F,F,F,F,F,F,F
3,2020,C,D,D,D,C,P,D,C
3,2020,F,D,C,F,D,F,F,F
3,2022,C+,D,C+,D,C,B+,C+,C+
1,2022,D,C,D,D,C,P,P,C
3,2022,F,C,F,C,F,F,F,F
3,2021,F,F,B+,F,D,C+,F,F
1,2023,A,A+,A,A,A+,A+,A,A+
1,2023,A,A+,S,A+,A+,A+,S,S
1,2021,B,B+,B,B,B,C+,B+,B+
3,2023,B+,A+,B,B+,B,C+,B+,A
1,2022,F,F,F,F,F,F,F,F
1,2023,B,B+,A,B,B+,C+,A,B+
2,2022,P,F,D,F,F,F,F,F
